Neutrino energy,discrete levels,only GTR,total
3.64,17.08289547702913,0.0037567482589276387,17.086652225288056
3.65,17.230992656532294,0.003849168181953458,17.23484182471425
3.66,17.385768576129088,0.0039415881049792816,17.389710164234067
3.67,17.535858537610785,0.0040340080280051,17.53989254563879
3.68,17.685398614379135,0.0041264279510309235,17.689525042330168
3.69,17.836677025767244,0.004218847874056743,17.8408958736413
3.7,17.98898542495509,0.004311267797082566,17.99329669275217
3.71,18.146846386140666,0.004403687720108385,18.151250073860776
3.72,18.301078473335345,0.004496107643134208,18.30557458097848
3.73,18.459017166952165,0.004603286868884378,18.46362045382105
3.74,18.62183715793796,0.004717735601946547,18.626554893539907
3.75,18.77743295808827,0.00483218433500871,18.782265142423277
3.7600000000000002,18.935688683335314,0.004946633068070878,18.940635316403384
3.77,19.094373955897904,0.005061081801133041,19.09943503769904
3.7800000000000002,19.25175672458118,0.005175530534195209,19.256932255115377
3.79,19.40999157477805,0.005289979267257373,19.415281554045308
3.8000000000000003,19.568639105660537,0.005404428000319541,19.574043533660856
3.81,19.730622182421165,0.005518876733381703,19.736141059154548
3.8200000000000003,19.896370544548425,0.005633325466443872,19.90200387001487
3.83,20.071598562561626,0.005765667441495673,20.07736423000312
3.84,20.234936160535945,0.005906822505885655,20.24084298304183
3.85,20.399636223208567,0.006047977570275644,20.405684200778843
3.86,20.570632170119467,0.006189132634665627,20.576821302754134
3.87,20.744706874374177,0.006330287699055616,20.75103716207323
3.88,20.926845246951853,0.006471442763445598,20.933316689715298
3.89,21.1149582493597,0.006612597827835587,21.121570847187535
3.9,21.28408001027098,0.0067537528922255695,21.290833763163207
3.91,21.45457255562711,0.006894907956615558,21.461467463583723
3.92,21.625361378493658,0.007036063021005541,21.632397441514662
3.93,21.797440159188323,0.007198950872126929,21.80463911006045
3.94,21.970434008229958,0.007372542931638403,21.977806551161596
3.95,22.146203679761534,0.007546134991149884,22.153749814752683
3.96,22.32477530478597,0.007719727050661358,22.332495031836633
3.97,22.52115346208443,0.007893319110172839,22.529046781194605
3.98,22.698317244341634,0.008066911169684313,22.70638415551132
3.99,22.875581028801193,0.008240503229195794,22.88382153203039
4.0,23.054067144712867,0.008414095288707268,23.062481240001574
4.01,23.232912853260512,0.008587687348218742,23.24150054060873
4.0200000000000005,23.41328901431808,0.00876127940773023,23.42205029372581
4.03,23.593981450427222,0.008961200360652344,23.602942650787874
4.04,23.775593817866902,0.00917408927600059,23.784767907142903
4.05,23.958065485905756,0.009386978191348837,23.967452464097104
4.0600000000000005,24.14092277162068,0.009599867106697102,24.150522638727377
4.07,24.324735502283865,0.00981275602204535,24.33454825830591
4.08,24.509268760432608,0.010025644937393597,24.51929440537
4.09,24.694707794818765,0.010238533852741843,24.704946328671507
4.1,24.88124919496754,0.01045142276809009,24.89170061773563
4.11,25.068388642544164,0.010664311683438355,25.079052954227603
