energy;sum_spectrum
10.75;262369.7349
10.76;261211.77256
10.77;260053.13402
10.78;258894.49548
10.79;257745.99994
10.8;256597.5044
10.81;255445.48186
10.82;254296.76092
10.83;253146.68758
10.84;251996.61424
10.85;250844.2869
10.86;249691.95956
10.87;248541.66082
10.88;247391.36208
10.89;246249.85394
10.9;245108.3458
10.91;243963.53606
10.92;242822.02792
10.93;241679.39278
10.94;240536.75764
10.95;239391.4177
10.96;238246.07776
10.97;237106.37282
10.98;235966.66788
10.99;234834.17574
11.0;233701.6836
11.01;232564.61366
11.02;231431.67072
11.03;230298.50238
11.04;229165.33404
11.05;228028.1085
11.06;226890.88296
11.07;225764.02582
11.08;224637.16868
11.09;223515.27034
11.1;222393.372
11.11;221267.34666
11.12;220145.44832
11.13;219023.09918
11.14;217900.75004
11.15;216773.2167
11.16;215645.68336
11.17;214534.60422
11.18;213423.52508
11.19;212313.79834
11.2;211204.0716
11.21;210090.66866
11.22;208981.39272
11.23;207871.66598
11.24;206761.93924
11.25;205648.6061
11.26;204535.27296
11.27;203438.61942
11.28;202341.96588
11.29;201246.43934
11.3;200150.9128
11.31;199050.88466
11.32;197955.80892
11.33;196860.28238
11.34;195764.75584
11.35;194668.3277
11.36;193571.89956
11.37;192490.79862
11.38;191409.69768
11.39;190329.72374
11.4;189249.7498
11.41;188165.72506
11.42;187086.65272
11.43;186006.67878
11.44;184926.70484
11.45;183848.9849
11.46;182771.26496
11.47;181707.29442
11.48;180643.32388
11.49;179581.15654
11.5;178518.9892
11.51;177452.54566
11.52;176391.05452
11.53;175328.43638
11.54;174265.81824
11.55;173209.0605
11.56;172152.30276
11.57;171107.49122
11.58;170062.67968
11.59;169019.44594
11.6;167976.2122
11.61;166927.50226
11.62;165885.39552
11.63;164841.48558
11.64;163797.57564
11.65;162764.0341
11.66;161730.49256
11.67;160706.41782
11.68;159682.34308
11.69;158660.07154
11.7;157637.8
11.71;156611.39512
11.72;155589.94264
11.73;154565.55996
11.74;153541.17728
11.75;152533.2488
11.76;151525.32032
11.77;150523.47764
11.78;149521.63496
11.79;148521.82088
11.8;147522.0068
11.81;146518.14192
11.82;145519.22944
11.83;144516.48516
11.84;143513.74088
11.85;142533.0858
11.86;141552.43072
11.87;140574.48044
11.88;139596.53016
11.89;138620.60848
11.9;137644.6868
11.91;136663.06352
11.92;135688.04344
11.93;134711.89636
11.94;133735.74928
11.95;132780.5644
11.96;131825.37952
11.97;130872.89944
11.98;129920.41936
11.99;128970.41868
12.0;128020.418
12.01;127065.09032
12.02;126115.54044
12.03;125168.01916
12.04;124220.49788
12.05;123292.361
12.06;122364.22412
12.07;121439.01744
12.08;120513.81076
12.09;119590.85808
12.1;118667.9054
12.11;117739.40032
12.12;116816.67304
12.13;115899.80616
12.14;114982.93928
12.15;114083.4282
12.16;113183.91712
12.17;112287.33624
12.18;111390.75536
12.19;110496.65388
12.2;109602.5524
12.21;108699.89532
12.22;107804.66684
12.23;106920.70836
12.24;106036.74988
12.25;105167.217
12.26;104297.68412
12.27;103431.30684
12.28;102564.92956
12.29;101700.80628
12.3;100836.683
12.31;99963.70252
12.32;99097.32524
12.33;98248.52916
12.34;97399.73308
12.35;96561.7562
12.36;95723.77932
12.37;94888.95804
12.38;94054.13676
12.39;93221.11868
12.4;92388.1006
12.41;91543.52052
12.42;90705.54364
12.43;89895.06556
12.44;89084.58748
12.45;88279.2936
12.46;87473.99972
12.47;86671.86144
12.48;85869.72316
12.49;85069.16268
12.5;84268.6022
12.51;83456.40672
12.52;82652.46524
12.53;81877.82576
12.54;81103.18628
12.55;80332.1532
12.56;79561.12012
12.57;78793.24264
12.58;78025.36516
12.59;77258.38928
12.6;76491.4134
12.61;75717.68512
12.62;74951.38544
12.63;74211.90836
12.64;73472.43128
12.65;72736.786
12.66;72001.14072
12.67;71268.42564
12.68;70535.71056
12.69;69802.99548
12.7;69070.2804
12.71;68335.77172
12.72;67608.69164
12.73;66905.95476
12.74;66203.21788
12.75;65504.0874
12.76;64804.95692
12.77;64108.30584
12.78;63411.65476
12.79;62713.87668
12.8;62016.0986
12.81;61320.96192
12.82;60634.90464
12.83;59969.80956
12.84;59304.71448
12.85;58643.0004
12.86;57981.28632
12.87;57321.82624
12.88;56662.36616
12.89;55999.29968
12.9;55336.2332
12.91;54686.16698
12.92;54043.52936
12.93;53416.89514
12.94;52790.26092
12.95;52167.0077
12.96;51543.75448
12.97;50922.07906
12.98;50300.40364
12.99;49671.51542
13.0;49042.6272
13.01;48439.07592
13.02;47842.95324
13.03;47255.84656
13.04;46668.73988
13.05;46084.5634
13.06;45500.38692
13.07;44916.66124
13.08;44332.93556
13.09;43741.32088
13.1;43149.7062
13.11;42589.35238
13.12;42038.90336
13.13;41491.83534
13.14;40944.76732
13.15;40400.4041
13.16;39856.04088
13.17;39311.22686
13.18;38766.41284
13.19;38218.66862
13.2;37670.9244
13.21;37154.29498
13.22;36645.09416
13.23;36139.04894
13.24;35633.00372
13.25;35128.7617
13.26;34624.51968
13.27;34118.47446
13.28;33612.42924
13.29;33109.76502
13.3;32607.1008
13.31;32131.42752
13.32;31664.00824
13.33;31199.29376
13.34;30734.57928
13.35;30270.9918
13.36;29807.40432
13.37;29339.75964
13.38;28872.11496
13.39;28416.64188
13.4;27961.1688
13.41;27524.94372
13.42;27099.44884
13.43;26675.98256
13.44;26252.51628
13.45;25829.2754
13.46;25406.03452
13.47;24975.35544
13.48;24544.67636
13.49;24138.34048
13.5;23732.0046
13.51;23339.35472
13.52;22955.78424
13.53;22574.01696
13.54;22192.24968
13.55;21809.3554
13.56;21426.46112
13.57;21030.94444
13.58;20635.42776
13.59;20281.15928
13.6;19926.8908
13.61;19576.16532
13.62;19234.51924
13.63;18893.77476
13.64;18553.03028
13.65;18210.0318
13.66;17867.03332
13.67;17507.35524
13.68;17147.67716
13.69;16845.25068
13.7;16542.8242
13.71;16233.12152
13.72;15932.49824
13.73;15632.10036
13.74;15331.70248
13.75;15027.6982
13.76;14723.69392
13.77;14410.44824
13.78;14097.20256
13.79;13835.34808
13.8;13573.4936
13.81;13301.21052
13.82;13040.48304
13.83;12779.30476
13.84;12518.12648
13.85;12251.3132
13.86;11984.49992
13.87;11717.91204
13.88;11451.32416
13.89;11228.01308
13.9;11004.702
13.91;10772.90518
13.92;10550.18776
